Sulfolobus_acidocaldarius_N8_Complete_GCF000340315v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Sulfolobus<S>Sulfolobus_acidocaldarius
Sulfolobus_acidocaldarius_Strain_Y14_13_1_WGS_GCF002215525v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Sulfolobus<S>Sulfolobus_acidocaldarius
Sulfolobus_acidocaldarius_Strain_Y14_16_22_WGS_GCF002215485v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Sulfolobus<S>Sulfolobus_acidocaldarius
Sulfolobus_acidocaldarius_Strain_Y14_20_20_WGS_GCF002215445v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Sulfolobus<S>Sulfolobus_acidocaldarius
Sulfolobus_acidocaldarius_Ron12_I_Complete_GCF000338775v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Sulfolobus<S>Sulfolobus_acidocaldarius
Sulfolobus_acidocaldarius_Strain_DG1_WGS_GCF002215565v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Sulfolobus<S>Sulfolobus_acidocaldarius
Sulfolobus_acidocaldarius_DSM_639_Complete_GCF000012285v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Sulfolobus<S>Sulfolobus_acidocaldarius
Sulfolobus_tokodaii_str_7_Complete_GCF000011205v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Sulfurisphaera<S>Sulfurisphaera_tokodaii
Sulfolobus_solfataricus_Strain_98_2_SULC_WGS_GCF000968395v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Saccharolobus<S>Saccharolobus_solfataricus
Sulfolobus_solfataricus_Strain_SULA_WGS_GCF000968435v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Saccharolobus<S>Saccharolobus_solfataricus
Sulfolobus_solfataricus_Strain_SULB_WGS_GCF000968355v1.RefSeq <D>Archaea<P>Crenarchaeota<C>Thermoprotei<O>Sulfolobales<F>Sulfolobaceae<G>Saccharolobus<S>Saccharolobus_solfataricus
