Strain(T),Domain(D),Phylum(P),Class(C),Order(O),Family(F),Genus(G),Species(S)
LC510549,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiosulfatimonas,Thiosulfatimonas_sediminis
MW712743,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrorhabdus,Thiomicrorhabdus_marina
MT514495,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrorhabdus,Thiomicrorhabdus_xiamenensis
MH590687,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrorhabdus,Thiomicrorhabdus_indica
MZ029089,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrorhabdus,Thiomicrorhabdus_cannonii
MK938301,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrorhabdus,Thiomicrorhabdus_sediminis
LC167090,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrorhabdus,Thiomicrorhabdus_aquaedulcis
AJ404732,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrorhabdus,Thiomicrorhabdus_psychrophila
AJ404731,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrorhabdus,Thiomicrorhabdus_arctica
AF013975,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrorhabdus,Thiomicrorhabdus_chilensis
AP024202,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrorhabdus,Thiomicrorhabdus_immobilis
LC010781,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrorhabdus,Thiomicrorhabdus_hydrogeniphila
AF013974,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrorhabdus,Thiomicrorhabdus_frisia
JQ080912,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Galenea,Galenea_microaerophila
AF016046,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrospira,Thiomicrospira_thyasirae
L40809,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrospira,Thiomicrospira_pelophila
CP002776,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrospira,Thiomicrospira_cyclica
AF126549,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrospira,Thiomicrospira_sibirica
AF126548,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Thiomicrospira,Thiomicrospira_aerophila
AB166731,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Hydrogenovibrio,Hydrogenovibrio_thermophilus
L40810,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Hydrogenovibrio,Hydrogenovibrio_crunogenus
AF013978,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Hydrogenovibrio,Hydrogenovibrio_kuenenii
D86374,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Hydrogenovibrio,Hydrogenovibrio_marinus
ARAR01000001,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Hydrogenovibrio,Hydrogenovibrio_halophilus
AB245479,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Piscirickettsiaceae,Sulfurivirga,Sulfurivirga_caldicuralii
AB118236,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Thiovirga,Thiovirga_sulfuroxydans
AB548216,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Steroidobacteraceae,Povalibacter,Povalibacter_uvarum
EF605262,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Steroidobacteraceae,Steroidobacter,Steroidobacter_denitrificans
MK311353,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Steroidobacteraceae,Steroidobacter,Steroidobacter_soli
MW287244,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Steroidobacteraceae,Steroidobacter,Steroidobacter_gossypii
AB174844,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Steroidobacteraceae,Steroidobacter,Steroidobacter_agariperforans
AB174845,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Steroidobacteraceae,Steroidobacter,Steroidobacter_agaridevorans
MZ150212,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Algiphilaceae,Algiphilus,Algiphilus_acroporae
DQ486493,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Algiphilaceae,Algiphilus,Algiphilus_aromaticivorans
MF156859,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Stenotrophobium,Stenotrophobium_rhamnosiphilum
MG649968,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Stagnimonas,Stagnimonas_aquatica
AJ313020,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Alkanibacter,Alkanibacter_difficilis
AB257720,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Panacagrimonas,Panacagrimonas_perspica
EU313812,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Hydrocarboniphaga,Hydrocarboniphaga_daqingensis
AY363245,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Hydrocarboniphaga,Hydrocarboniphaga_effusa
JQ710440,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Nevskia,Nevskia_aquatilis
GQ845011,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Nevskia,Nevskia_terrae
EF178286,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Nevskia,Nevskia_soli
ATVI01000001,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Nevskia,Nevskia_ramosa
MW546061,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Flagellatimonas,Flagellatimonas_centrodinii
FJ176554,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Polycyclovorans,Polycyclovorans_algicola
HQ875491,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Sinimarinibacterium,Sinimarinibacterium_flocculans
JN415769,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Fontimonas,Fontimonas_thermophila
MF682434,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Solimonas,Solimonas_fluminis
KF112046,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Solimonas,Solimonas_terrae
MT130397,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Solimonas,Solimonas_marina
EU303271,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Solimonas,Solimonas_aquatica
EF067861,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Solimonas,Solimonas_soli
AJ555478,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Solimonas,Solimonas_variicoloris
EF154515,Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Solimonas,Solimonas_flava
MT498687,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Permianibacter,Permianibacter_fluminis
KJ721800,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Permianibacter,Permianibacter_aggregans
KC688888,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Faucicola,Faucicola_mancuniensis
ARBT01000034,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_boevrei
HM161851,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_atlantae
SADG01000000,Bacteria,Pseudomonadota,Gammaproteobacteria,Beggiatoales,Leucotrichaceae,Leucothrix,Leucothrix_sargassi
AJ550856,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,Enhydrobacter_aerosaccus
HF558363,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_lincolnii
AJ269511,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_canis
AF005186,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_ovis
AF005160,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_lacunata
AF005184,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_equi
DQ156148,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_caprae
OL841892,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_nasibovis
OL841893,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_nasovis
AF005185,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_catarrhalis
JN175343,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_nonliquefaciens
AF005187,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_caviae
HF558370,Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,Neisseria_flava
AF005182,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_bovis
OL841894,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_nasicaprae
AF005188,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella_cuniculi
U39399,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_immobilis
U46144,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_phenylpyruvicus
KM486054,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_ciconiae
FM165580,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_lutiphocae
MH065724,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_pygoscelis
AJ609273,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_arenosus
KY292376,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_pasteurii
KY292375,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_piechaudii
HM212668,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_sanguinis
EU939718,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_aestuarii
KT444699,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_pocilloporae
AB910522,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_oceani
AB681982,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_pacificensis
MW405808,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_coccoides
MW405795,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_halodurans
AY842259,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_celer
AF441201,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_jeotgali
AJ539104,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_salsus
AJ309940,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_submarinus
AJ309941,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_marincola
HQ698579,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_pulmonis
AJ421528,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_faecalis
AB438958,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_fulvigenes
HE654007,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_adeliensis
AJ272303,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_proteolyticus
AY722804,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_aquimaris
AB453700,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_piscatorii
AJ313425,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_nivimaris
AY513645,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_alimentarius
AJ609272,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_maritimus
AJ584832,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_vallis
AJ584833,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_aquaticus
AY722805,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_namhaensis
AJ609556,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_frigidicola
AJ430828,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_luti
AB094794,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_okhotskensis
FJ748508,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_glaciei
GQ358940,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_fjordensis
AJ430827,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_fozii
AY444822,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_arcticus
AY660685,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_cryohalolentis
AJ312213,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_glacincola
AJ609555,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_urativorans
AY639871,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Psychrobacter_cibarius
MF682432,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Aminomonas,Unclassified
DQ664237,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Perlucidibaca,Perlucidibaca_piscinae
KU984676,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Perlucidibaca,Perlucidibaca_aquatica
JX994294,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Paraperlucidibaca,Paraperlucidibaca_wandonensis
GU731671,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Paraperlucidibaca,Paraperlucidibaca_baekdonensis
JX458449,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Cavicella,Cavicella_subterranea
KF891388,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Fluviicoccus,Fluviicoccus_keumensis
HE582776,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Agitococcus,Agitococcus_lubricus
KY077152,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Aquirhabdus,Aquirhabdus_parva
AF513979,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,Alkanindiges_illinoisensis
MN701878,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_pollinis
JQ771132,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_nectaris
JX402203,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_apis
MN709041,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_baretiae
JQ771141,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_boissieri
APQA01000026,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_ursingii
LR031292,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_ihumii
KU560468,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_larvae
EF204258,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_rudis
JX982123,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_qingfengensis
APPN01000046,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_gerneri
MT138756,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_stercoris
KM518626,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_populi
JN664255,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_puyangensis
DQ832256,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_brisouii
EU290155,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_soli
APPT01000006,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_baylyi
FJ860878,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_seifertii
AJ888983,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_calcoaceticus
MT380471,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_geminorum
KU921101,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_lactucae
KT032155,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_halotolerans
AJ295007,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_venetianus
X81660,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_baumannii
KT997477,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_vivianii
KT997472,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_courvalinii
X81664,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_junii
KT997474,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_modestus
JQ608323,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_indicus
APPY01000064,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_towneri
BAGY01000082,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_radioresistens
KP278590,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_variabilis
KM206131,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_gandensis
MW282900,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_sedimenti
KY435933,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_defluvii
KY853661,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_wuhouensis
APOS01000028,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_guillouiae
APQG01000050,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_bereziniae
APPQ01000011,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_schindleri
HE651929,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_tandoii
MW114828,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_kanungonis
AIEB01000124,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_parvus
KT997473,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_dispersus
HE651928,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_tjernbergiae
KT997475,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_proteolyticus
AJ293694,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_gyllenbergii
OR350514,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_higginsii
APQQ01000002,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_haemolyticus
ON598627,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_amyesii
MH179327,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_sichuanensis
CP032134,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_chinensis
CP035934,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_cumulans
MK796535,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_chengduensis
OP713786,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_entericus
APQD01000004,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_bouvetii
APON01000041,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_johnsonii
MN650687,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_faecalis
MF062566,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_piscicola
KX548337,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_celticus
OM630156,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_silvestris
MK226441,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_wanghuae
MK990276,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_lanii
KX014586,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_pragensis
KF679797,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_bohemicus
KC494698,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter_equi
